('backend/dataset/LFW/lfw-deepfunneled/Mohammad_Fares/Mohammad_Fares_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Tom_Daschle/Tom_Daschle_0009.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Tom_Daschle/Tom_Daschle_0021.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Alvaro_Uribe/Alvaro_Uribe_0007.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/William_Donaldson/William_Donaldson_0003.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Damarius_Bilbo/Damarius_Bilbo_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Mohammad_Khatami/Mohammad_Khatami_0007.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Lynn_Abraham/Lynn_Abraham_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Condoleezza_Rice/Condoleezza_Rice_0004.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Condoleezza_Rice/Condoleezza_Rice_0005.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Condoleezza_Rice/Condoleezza_Rice_0005.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Rick_Pitino/Rick_Pitino_0004.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Taha_Yassin_Ramadan/Taha_Yassin_Ramadan_0006.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Taha_Yassin_Ramadan/Taha_Yassin_Ramadan_0013.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Tatiana_Panova/Tatiana_Panova_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/David_Chase/David_Chase_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Phil_Gramm/Phil_Gramm_0002.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Roger_Lyons/Roger_Lyons_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Vecdi_Gonul/Vecdi_Gonul_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Alexis_Dennisoff/Alexis_Dennisoff_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Karen_Allen/Karen_Allen_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Eduardo_Duhalde/Eduardo_Duhalde_0008.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Eduardo_Duhalde/Eduardo_Duhalde_0002.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Elisabeth_Schumacher/Elisabeth_Schumacher_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Bernadette_Peters/Bernadette_Peters_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Harriet_Lessy/Harriet_Lessy_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Mahmoud_Abbas/Mahmoud_Abbas_0021.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Paul_McCartney/Paul_McCartney_0005.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Edmund_Stoiber/Edmund_Stoiber_0013.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Wendy_Selig/Wendy_Selig_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Rodrigo_Borja/Rodrigo_Borja_0002.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Tonino_Guerra/Tonino_Guerra_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/John_Velazquez/John_Velazquez_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/John_Burkett/John_Burkett_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Harrison_Ford/Harrison_Ford_0003.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Roy_Halladay/Roy_Halladay_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Elsa_Zylberstein/Elsa_Zylberstein_0005.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Chung_Mong-hun/Chung_Mong-hun_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Naji_Sabri/Naji_Sabri_0002.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Park_Jung_Sung/Park_Jung_Sung_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Jacques_Chirac/Jacques_Chirac_0006.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Jacques_Chirac/Jacques_Chirac_0010.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/James_McGreevey/James_McGreevey_0002.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Mohammed_Al-Douri/Mohammed_Al-Douri_0006.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Ben_Affleck/Ben_Affleck_0003.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Jan_Paul_Miller/Jan_Paul_Miller_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Vojislav_Seselj/Vojislav_Seselj_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Gerhard_Schroeder/Gerhard_Schroeder_0029.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Tomoko_Hagiwara/Tomoko_Hagiwara_0002.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Stuart_Knoll/Stuart_Knoll_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Jose_Maria_Aznar/Jose_Maria_Aznar_0012.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/William_Joppy/William_Joppy_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Doug_Duncan/Doug_Duncan_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Muammar_Gaddafi/Muammar_Gaddafi_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/John_Moe/John_Moe_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Amelie_Mauresmo/Amelie_Mauresmo_0021.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Yusuf_Misbac/Yusuf_Misbac_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/John_Howard/John_Howard_0006.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/John_Howard/John_Howard_0018.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Lee_Soo-hyuck/Lee_Soo-hyuck_0002.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Nestor_Kirchner/Nestor_Kirchner_0034.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Nestor_Kirchner/Nestor_Kirchner_0002.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Pamela_Melroy/Pamela_Melroy_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Monica_Bellucci/Monica_Bellucci_0004.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Klaus_Schwab/Klaus_Schwab_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Lindsay_Lohan/Lindsay_Lohan_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Laurence_Tribe/Laurence_Tribe_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Jean_Charest/Jean_Charest_0005.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Bob_Dole/Bob_Dole_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Pham_Sy_Chien/Pham_Sy_Chien_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Jon_Stewart/Jon_Stewart_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Hana_Urushima/Hana_Urushima_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Luiz_Inacio_Lula_da_Silva/Luiz_Inacio_Lula_da_Silva_0037.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Luiz_Inacio_Lula_da_Silva/Luiz_Inacio_Lula_da_Silva_0013.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Luiz_Inacio_Lula_da_Silva/Luiz_Inacio_Lula_da_Silva_0038.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Barbara_Boxer/Barbara_Boxer_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/David_Stern/David_Stern_0003.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Mohammed_Ashraf_Hafiz/Mohammed_Ashraf_Hafiz_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Mohammed_Ashraf_Hafiz/Mohammed_Ashraf_Hafiz_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Bill_OReilly/Bill_OReilly_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Tanya_Holyk/Tanya_Holyk_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Lars_Von_Trier/Lars_Von_Trier_0003.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Gwyneth_Paltrow/Gwyneth_Paltrow_0003.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Aldo_Paredes/Aldo_Paredes_0002.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Carlos_Menem/Carlos_Menem_0003.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Katie_Harman/Katie_Harman_0002.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Donatella_Versace/Donatella_Versace_0003.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Marina_Anissina/Marina_Anissina_0002.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Thomas_Birmingham/Thomas_Birmingham_0002.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Richard_Gere/Richard_Gere_0005.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Maryn_McKenna/Maryn_McKenna_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Pierce_Brosnan/Pierce_Brosnan_0007.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/George_Galloway/George_Galloway_0004.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/James_Meeks/James_Meeks_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Fred_Swan/Fred_Swan_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Julio_Rossi/Julio_Rossi_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Nathirah_Hussein/Nathirah_Hussein_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Nabil_Shaath/Nabil_Shaath_0002.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Gary_Bald/Gary_Bald_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Zach_Safrin/Zach_Safrin_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Sadam_Hassan/Sadam_Hassan_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Derrick_Rodgers/Derrick_Rodgers_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/David_Beckham/David_Beckham_0020.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Donald_Rumsfeld/Donald_Rumsfeld_0074.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Laura_Bush/Laura_Bush_0011.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Arnold_Schwarzenegger/Arnold_Schwarzenegger_0007.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Arnold_Schwarzenegger/Arnold_Schwarzenegger_0029.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/John_Thune/John_Thune_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Tung_Chee-hwa/Tung_Chee-hwa_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/George_HW_Bush/George_HW_Bush_0002.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Jesse_James_Leija/Jesse_James_Leija_0002.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Alistair_MacDonald/Alistair_MacDonald_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Hernan_Diaz/Hernan_Diaz_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Jack_Nicholson/Jack_Nicholson_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Raoul_Ruiz/Raoul_Ruiz_0004.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Abdoulaye_Wade/Abdoulaye_Wade_0003.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Charles_Mathews/Charles_Mathews_0002.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Tim_Norbeck/Tim_Norbeck_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Colin_Powell/Colin_Powell_0222.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Colin_Powell/Colin_Powell_0048.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Colin_Powell/Colin_Powell_0070.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Colin_Powell/Colin_Powell_0206.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Uma_Thurman/Uma_Thurman_0002.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Randy_Brown/Randy_Brown_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Carlos_Vives/Carlos_Vives_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Russell_Crowe/Russell_Crowe_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Saddam_Hussein/Saddam_Hussein_0010.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Damon_Stoudamire/Damon_Stoudamire_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Chan_Gailey/Chan_Gailey_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Jaouad_Gharib/Jaouad_Gharib_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Edwin_Edwards/Edwin_Edwards_0003.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Charles_Moose/Charles_Moose_0007.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Neri_Marcore/Neri_Marcore_0002.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Alvaro_Silva_Calderon/Alvaro_Silva_Calderon_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Kultida_Woods/Kultida_Woods_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Bill_Simon/Bill_Simon_0015.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Franz_Muentefering/Franz_Muentefering_0003.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Jelena_Dokic/Jelena_Dokic_0004.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/James_Jones/James_Jones_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Franco_Dragone/Franco_Dragone_0002.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Sandy_Smith/Sandy_Smith_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Gerard_Butler/Gerard_Butler_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Lynne_Thigpen/Lynne_Thigpen_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/David_Suazo/David_Suazo_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Jose_Lopez_Beltran/Jose_Lopez_Beltran_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Ibrahim_Jaafari/Ibrahim_Jaafari_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Alex_Penelas/Alex_Penelas_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Angie_Martinez/Angie_Martinez_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/John_Allen_Muhammad/John_Allen_Muhammad_0006.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Mahathir_Mohamad/Mahathir_Mohamad_0009.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Ralph_Klein/Ralph_Klein_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/George_Clooney/George_Clooney_0002.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Laura_Morante/Laura_Morante_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Sheikh_Ahmed_Yassin/Sheikh_Ahmed_Yassin_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Della_Clara/Della_Clara_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Angela_Merkel/Angela_Merkel_0003.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Hugo_Chavez/Hugo_Chavez_0057.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Hugo_Chavez/Hugo_Chavez_0033.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Howard_Smith/Howard_Smith_0002.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Gary_Doer/Gary_Doer_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Paul_Murphy/Paul_Murphy_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Jennifer_Capriati/Jennifer_Capriati_0031.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Philip_Zalewski/Philip_Zalewski_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Jason_Kidd/Jason_Kidd_0009.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Jason_Kidd/Jason_Kidd_0009.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Laurie_Hobbs/Laurie_Hobbs_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Akmal_Taher/Akmal_Taher_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Micky_Ward/Micky_Ward_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Colin_Farrell/Colin_Farrell_0003.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Tiger_Woods/Tiger_Woods_0020.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Rick_Carlisle/Rick_Carlisle_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/S_Jayakumar/S_Jayakumar_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Gerry_Adams/Gerry_Adams_0005.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Billy_Crystal/Billy_Crystal_0006.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Abdullah_Gul/Abdullah_Gul_0016.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Britney_Spears/Britney_Spears_0008.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Frank_Dunham_Jr/Frank_Dunham_Jr_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Tom_Glavine/Tom_Glavine_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Junichiro_Koizumi/Junichiro_Koizumi_0031.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Fruit_Chan/Fruit_Chan_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/John_Manley/John_Manley_0006.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Steven_Spielberg/Steven_Spielberg_0002.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Rohman_al-Ghozi/Rohman_al-Ghozi_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Rita_Moreno/Rita_Moreno_0002.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Bernard_Landry/Bernard_Landry_0002.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Hans_Blix/Hans_Blix_0027.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Hans_Blix/Hans_Blix_0012.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Ariel_Sharon/Ariel_Sharon_0047.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Ariel_Sharon/Ariel_Sharon_0018.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Ariel_Sharon/Ariel_Sharon_0064.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Yasser_Arafat/Yasser_Arafat_0007.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Yasser_Arafat/Yasser_Arafat_0004.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/George_Robertson/George_Robertson_0003.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Meg_Wakeman/Meg_Wakeman_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Jonathan_Arden/Jonathan_Arden_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Luther_Htu/Luther_Htu_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Harvey_Wachsman/Harvey_Wachsman_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/George_W_Bush/George_W_Bush_0147.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/George_W_Bush/George_W_Bush_0223.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/George_W_Bush/George_W_Bush_0022.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/George_W_Bush/George_W_Bush_0326.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/George_W_Bush/George_W_Bush_0442.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/George_W_Bush/George_W_Bush_0268.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/George_W_Bush/George_W_Bush_0082.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/George_W_Bush/George_W_Bush_0273.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/George_W_Bush/George_W_Bush_0261.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/George_W_Bush/George_W_Bush_0473.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/George_W_Bush/George_W_Bush_0075.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/George_W_Bush/George_W_Bush_0504.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/George_W_Bush/George_W_Bush_0165.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/George_W_Bush/George_W_Bush_0028.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Nadia_Forte/Nadia_Forte_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Kaye_Young/Kaye_Young_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Silvio_Berlusconi/Silvio_Berlusconi_0030.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Robert_Zoellick/Robert_Zoellick_0005.jpg', 'No face detected')
